Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000083263	Gm14874	X
ENSMUSG00000084161	Gm15061	X
ENSMUSG00000095152	Gm3657	X
ENSMUSG00000088050	Gm54363	X
ENSMUSG00000083213	Gm14875	X
ENSMUSG00000081197	Gm15076	X
ENSMUSG00000081414	Gm3943	X
ENSMUSG00000081718	Gm8261	X
ENSMUSG00000056380	Gpr50	X
ENSMUSG00000084147	Gm15075	X
ENSMUSG00000082594	Gm15074	X
ENSMUSG00000082337	Gm14723	X
ENSMUSG00000085489	Gm3669	X
ENSMUSG00000083411	Rpl30-ps10	X
ENSMUSG00000084061	Gm4996	X
ENSMUSG00000033965	Slc16a2	X
ENSMUSG00000083019	Gm6222	X
ENSMUSG00000104064	Gm37956	X
ENSMUSG00000073257	Gm10488	X
ENSMUSG00000083605	Gm14893	X
ENSMUSG00002076267	Gm54364	X
ENSMUSG00000082322	Gm9164	X
ENSMUSG00000085060	E330016L19Rik	X
ENSMUSG00000081689	Gm9166	X
ENSMUSG00000096311	Gm3681	X
ENSMUSG00000073131	Vma21	X
ENSMUSG00000073255	Gm14632	X
ENSMUSG00000085989	Gm7437	X
ENSMUSG00000085325	Gm14974	X
ENSMUSG00000096539	Gm7438	X
ENSMUSG00000041380	Htr2c	X
ENSMUSG00000056537	Rlim	X
ENSMUSG00000077767	Snora35	X
ENSMUSG00000092879	Mir3552	X
ENSMUSG00000080825	Gm14892	X
ENSMUSG00000076458	Mir764	X
ENSMUSG00000064876	Gm23378	X
ENSMUSG00000093039	Mir1912	X
ENSMUSG00000073130	Gm1141	X
ENSMUSG00000077199	Gm22266	X
ENSMUSG00000093122	Mir1264	X
ENSMUSG00000080331	Mir1298	X
ENSMUSG00002076103	Gm54370	X
ENSMUSG00000084713	Mir1911	X
ENSMUSG00000065450	Mir448	X
ENSMUSG00000094759	Gm10487	X
ENSMUSG00000094391	Btbd35f29	X
ENSMUSG00000033361	Prrg3	X
ENSMUSG00000095754	Spin2f	X
ENSMUSG00000046449	Nexmif	X
ENSMUSG00000076286	Mir672	X
ENSMUSG00000118441	Btbd35f26	X
ENSMUSG00000086580	Gm15280	X
ENSMUSG00000086906	Gm15276	X
ENSMUSG00000118465	Btbd35f19	X
ENSMUSG00000118452	Gm21883	X
ENSMUSG00000096645	Spin2e	X
ENSMUSG00000053593	Fate1	X
ENSMUSG00000118431	Btbd35f25	X
ENSMUSG00000095770	Gm21637	X
